left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
DSS_tbl_CNJ_severity_z,severity_lexical,360,0.668688,-0.036383,0.668688,0,5.964042,1.167295
VOCD_D_optimum_average_severity_z,DSS_tbl_CNJ_severity_z,360,0.668688,-0.036383,0.668688,0,5.964042,1.167295
DSS_tbl_NG_severity_z,DSS_tbl_CNJ_severity_z,360,0.663943,0.139117,0.663943,0,6.562429,1.061249
MLU_Morphemes_severity_z,pronoun_errors_per_word_severity_z,360,0.663623,0.131097,0.663623,0,14.654982,1.041260
DSS_tbl_PP_severity_z,severity_morphosyntax_burden,360,0.654299,0.046962,0.654299,0,17.430112,1.164157
DSS_tbl_CNJ_severity_z,rule_generalization_errors_per_word_severity_z,360,0.653906,0.140830,0.653906,0,6.218974,1.115222
VOCD_D_optimum_average_severity_z,rule_generalization_errors_per_word_severity_z,360,0.652630,0.046009,0.652630,0,6.922616,1.156388
rule_generalization_errors_per_word_severity_z,severity_lexical,360,0.652630,0.046009,0.652630,0,6.922616,1.156388
IPSyn_Total_severity_z,DSS_tbl_PP_severity_z,351,0.650312,0.315367,0.650312,0,4.915729,0.985275
bare_marking_errors_per_word_severity_z,severity_disruption,360,0.650139,0.405863,0.650139,0,33.725962,1.545075
MLU_Morphemes_severity_z,DSS_tbl_PP_severity_z,360,0.645443,0.223271,0.645443,0,4.905787,1.083666
DSS_tbl_NG_severity_z,Word_Errors_per_utt_severity_z,360,0.638236,0.095345,0.638236,0,25.602186,1.430767
MLU_Morphemes_severity_z,VOCD_D_optimum_average_severity_z,360,0.636084,0.128990,0.636084,0,6.803966,1.150002
MLU_Morphemes_severity_z,severity_lexical,360,0.636084,0.128990,0.636084,0,6.803966,1.150002
MLU_Morphemes_severity_z,DSS_tbl_NG_severity_z,360,0.635631,0.201271,0.635631,0,4.599686,1.085405
DSS_tbl_NG_severity_z,DSS_tbl_IR_severity_z,360,0.631104,0.163379,0.631104,0,4.873925,0.936487
IPSyn_Total_severity_z,severity_morphosyntax_burden,351,0.628827,0.182784,0.628827,0,22.345841,1.139152
DSS_tbl_IR_severity_z,pronoun_errors_per_word_severity_z,360,0.626340,0.080736,0.626340,0,14.784019,0.913448
MLU_Morphemes_severity_z,rule_generalization_errors_per_word_severity_z,360,0.624183,0.187283,0.624183,0,6.138161,1.143046
DSS_tbl_IR_severity_z,severity_morphosyntax_burden,360,0.619555,0.034137,0.619555,0,16.831573,1.112101
DSS_tbl_NG_severity_z,pronoun_errors_per_word_severity_z,360,0.618762,0.058176,0.618762,0,16.388902,0.977928
DSS_tbl_PP_severity_z,DSS_tbl_NG_severity_z,360,0.613009,0.141141,0.613009,0,3.669244,1.055917
IPSyn_Total_severity_z,determiner_errors_per_word_severity_z,351,0.610475,0.064510,0.610475,0,64.845468,1.290059
DSS_tbl_PP_severity_z,Word_Errors_per_utt_severity_z,360,0.607804,-0.016914,0.607804,0,25.615166,1.494479
DSS_tbl_PP_severity_z,pronoun_errors_per_word_severity_z,360,0.602891,-0.009534,0.602891,0,15.248400,1.012459
DSS_tbl_IR_severity_z,severity_core_composite,360,0.599916,0.132844,0.599916,0,10.526564,1.025736
DSS_tbl_CNJ_severity_z,DSS_tbl_IR_severity_z,360,0.596988,0.057395,0.596988,0,9.055287,1.069907
repetition_per_utt_severity_z,determiner_errors_per_word_severity_z,360,-0.589060,0.028271,0.589060,0,105.966408,1.469003
DSS_tbl_IR_severity_z,Word_Errors_per_utt_severity_z,360,0.586745,0.002747,0.586745,0,25.016626,1.432433
DSS_tbl_NG_severity_z,rule_generalization_errors_per_word_severity_z,360,0.581826,0.040288,0.581826,0,6.207669,1.135400
DSS_tbl_PP_severity_z,DSS_tbl_IR_severity_z,360,0.581703,0.111802,0.581703,0,6.714652,1.051581
IPSyn_Total_severity_z,pronoun_errors_per_word_severity_z,351,0.580336,0.114348,0.580336,0,15.588408,0.986005
bare_marking_errors_per_word_severity_z,severity_domain_composite,360,0.579834,0.466033,0.579834,0,34.187126,1.492358
IPSyn_Total_severity_z,Word_Errors_per_utt_severity_z,351,0.578516,0.102206,0.578516,0,30.530895,1.445547
DSS_tbl_CNJ_severity_z,retracing_per_utt_severity_z,360,-0.571319,-0.308972,0.571319,0,39.817196,1.410713
DSS_tbl_MV_severity_z,repetition_per_utt_severity_z,360,-0.570874,-0.011744,0.570874,0,74.141836,1.495253
IPSyn_Total_severity_z,DSS_tbl_IR_severity_z,351,0.560344,0.223067,0.560344,0,7.944776,1.007952
DSS_tbl_IR_severity_z,rule_generalization_errors_per_word_severity_z,360,0.559480,0.036866,0.559480,0,7.950521,1.093115
Word_Errors_per_utt_severity_z,severity_disruption,360,0.544418,0.614649,0.544418,0,43.502930,0.959025
retracing_per_utt_severity_z,repetition_per_utt_severity_z,360,0.543096,0.449563,0.543096,0,21.787216,0.966712
DSS_tbl_CNJ_severity_z,repetition_per_utt_severity_z,360,-0.541595,-0.173687,0.541595,0,52.612077,1.471727
DSS_tbl_score_severity_z,repetition_per_utt_severity_z,360,-0.538882,-0.071828,0.538882,0,59.059028,1.452130
repetition_per_utt_severity_z,severity_structural,360,-0.538182,-0.057689,0.538182,0,55.806354,1.379666
