File_ID,DSS_tbl_source,DSS_tbl_relpath,DSS_tbl_transcript,DSS_tbl_transcript_relpath,DSS_tbl_command,DSS_tbl_score,DSS_tbl_score_is_na,DSS_tbl_warning_50,DSS_tbl_CNJ,DSS_tbl_IP,DSS_tbl_IR,DSS_tbl_MV,DSS_tbl_NG,DSS_tbl_PP,DSS_tbl_S,DSS_tbl_SV,DSS_tbl_TOT,DSS_tbl_WHQ
878,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/878.tbl.cex,phase2/measures/dss/SLI/A/878.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/878.cha,data/annotated/ENNI_batchalign/SLI/A/878.cha,dss +t*CHI +deng.cut +leng,5.62,0,0,33,22,7,107,0,34,47,23,281,8
880,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/880.tbl.cex,phase2/measures/dss/SLI/A/880.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/880.cha,data/annotated/ENNI_batchalign/SLI/A/880.cha,dss +t*CHI +deng.cut +leng,11.58,0,0,148,38,1,148,25,118,47,34,579,20
922,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/922.tbl.cex,phase2/measures/dss/SLI/A/922.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/922.cha,data/annotated/ENNI_batchalign/SLI/A/922.cha,dss +t*CHI +deng.cut +leng,11.90,0,0,181,48,4,179,15,90,49,29,595,0
926,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/926.tbl.cex,phase2/measures/dss/SLI/A/926.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/926.cha,data/annotated/ENNI_batchalign/SLI/A/926.cha,dss +t*CHI +deng.cut +leng,10.52,0,0,153,45,2,165,4,71,45,29,526,12
973,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/973.tbl.cex,phase2/measures/dss/SLI/A/973.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/973.cha,data/annotated/ENNI_batchalign/SLI/A/973.cha,dss +t*CHI +deng.cut +leng,5.30,0,0,44,13,0,106,0,17,40,45,265,0
427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/427.tbl.cex,phase2/measures/dss/SLI/B/427.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/427.cha,data/annotated/ENNI_batchalign/SLI/B/427.cha,dss +t*CHI +deng.cut +leng,4.47,0,1,23,16,0,52,4,14,30,4,143,0
480,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/480.tbl.cex,phase2/measures/dss/SLI/B/480.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/480.cha,data/annotated/ENNI_batchalign/SLI/B/480.cha,dss +t*CHI +deng.cut +leng,6.78,0,0,108,20,10,78,4,14,48,51,339,6
527,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/527.tbl.cex,phase2/measures/dss/SLI/B/527.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/527.cha,data/annotated/ENNI_batchalign/SLI/B/527.cha,dss +t*CHI +deng.cut +leng,8.28,0,0,101,40,9,106,4,66,48,36,414,4
531,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/531.tbl.cex,phase2/measures/dss/SLI/B/531.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/531.cha,data/annotated/ENNI_batchalign/SLI/B/531.cha,dss +t*CHI +deng.cut +leng,3.75,0,1,9,3,0,17,4,2,10,0,45,0
535,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/535.tbl.cex,phase2/measures/dss/SLI/B/535.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/535.cha,data/annotated/ENNI_batchalign/SLI/B/535.cha,dss +t*CHI +deng.cut +leng,7.08,0,0,102,14,8,88,13,41,44,42,354,2
